,title,artist,genre
243,G.U.Y.,Lady Gaga,dance pop
244,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro
245,"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop
246,Wings,Birdy,neo mellow
247,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop
248,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop
249,Say Something,A Great Big World,neo mellow
250,A Sky Full of Stars,Coldplay,permanent wave
251,Come Get It Bae,Pharrell Williams,dance pop
252,Chandelier,Sia,australian dance
253,XO,Beyoncé,dance pop
254,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop
255,Not About Angels,Birdy,neo mellow
256,Drunk in Love,Beyoncé,dance pop
257,Anaconda,Nicki Minaj,dance pop
258,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop
259,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop
260,Tee Shirt - Soundtrack Version,Birdy,neo mellow
261,Words as Weapons,Birdy,neo mellow
262,You're Mine (Eternal),Mariah Carey,dance pop
263,Sheezus,Lily Allen,dance pop
265,It's On Again - Main Soundtrack,Alicia Keys,hip pop
266,I Luh Ya Papi,Jennifer Lopez,dance pop
267,Not a Bad Thing,Justin Timberlake,dance pop
268,Thinking out Loud,Ed Sheeran,pop
269,I'm Not The Only One,Sam Smith,pop
270,The Hills,The Weeknd,canadian contemporary r&b
271,Love Yourself,Justin Bieber,canadian pop
272,Uptown Funk,Mark Ronson,dance pop
274,Sugar,Maroon 5,pop
275,Sorry,Justin Bieber,canadian pop
276,FourFiveSeconds,Rihanna,barbadian pop
277,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop
278,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b
279,What Do You Mean?,Justin Bieber,canadian pop
280,Stitches,Shawn Mendes,canadian pop
281,Want to Want Me,Jason Derulo,dance pop
282,My House,Flo Rida,dance pop
283,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house
284,Night Changes,One Direction,boy band
285,How Deep Is Your Love,Calvin Harris,dance pop
286,Never Forget You,Zara Larsson,dance pop
287,Love Me Harder,Ariana Grande,dance pop
288,Animals,Maroon 5,pop
289,Blame,Calvin Harris,dance pop
290,Worth It,Fifth Harmony,dance pop
291,Break Free,Ariana Grande,dance pop
292,Don't,Ed Sheeran,pop
293,Elastic Heart,Sia,australian dance
294,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop
295,Hello,Adele,british soul
296,Dear Future Husband,Meghan Trainor,dance pop
297,43776,Beyoncé,dance pop
298,The Heart Wants What It Wants,Selena Gomez,dance pop
299,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop
300,Genie In a Bottle,Christina Aguilera,dance pop
301,Company,Justin Bieber,canadian pop
302,Sing,Ed Sheeran,pop
303,Jealous - Remix,Nick Jonas,dance pop
304,Really Don't Care,Demi Lovato,dance pop
305,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop
306,Only Love Can Hurt Like This,Paloma Faith,british soul
307,Heartbeat Song,Kelly Clarkson,dance pop
308,Up,Olly Murs,dance pop
309,Trumpets,Jason Derulo,dance pop
310,Runnin' (Lose It All),Naughty Boy,tropical house
311,Same Old Love,Selena Gomez,dance pop
312,I Want You To Know,Zedd,complextro
313,Lips Are Movin,Meghan Trainor,dance pop
314,I'll Show You,Justin Bieber,canadian pop
315,Here,Alessia Cara,canadian contemporary r&b
316,I Lived,OneRepublic,dance pop
317,Fireball (feat. John Ryan),Pitbull,dance pop
318,Easy Love,Sigala,dance pop
319,The Feeling,Justin Bieber,canadian pop
320,I Really Like You,Carly Rae Jepsen,canadian pop
321,BO$$,Fifth Harmony,dance pop
322,Sugar,Maroon 5,pop
323,Focus,Ariana Grande,dance pop
324,All About That Bass,Meghan Trainor,dance pop
325,On My Mind,Ellie Goulding,dance pop
326,Love Me Like You,Little Mix,dance pop
327,Broken Arrows,Avicii,big room
328,Booty,Jennifer Lopez,dance pop
329,What Do You Mean? - Acoustic,Justin Bieber,canadian pop
330,Mark My Words,Justin Bieber,canadian pop
331,Lay It All on Me,Rudimental,dance pop
332,American Oxygen,Rihanna,barbadian pop
333,Bang Bang,Jessie J,australian pop
334,Reality - Radio Edit,Lost Frequencies,belgian edm
335,Alive,Sia,australian dance
336,Sugar (feat. Francesco Yates),Robin Schulz,dance pop
337,Been You,Justin Bieber,canadian pop
339,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop
340,Heroes (we could be),Alesso,big room
341,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop
342,Perfect,One Direction,boy band
343,Ghosttown,Madonna,dance pop
344,Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop
345,Bloodstream,Ed Sheeran,pop
346,Living For Love,Madonna,dance pop
