,title,artist,genre
584,Beautiful People (feat. Khalid),Ed Sheeran,pop
585,Sucker,Jonas Brothers,boy band
586,Don't Call Me Up,Mabel,dance pop
587,I Don't Care (with Justin Bieber),Ed Sheeran,pop
589,Giant (with Rag'n'Bone Man),Calvin Harris,dance pop
590,Takeaway,The Chainsmokers,electropop
591,All Around The World (La La La),R3HAB,big room
592,Girls Like You (feat. Cardi B),Maroon 5,pop
593,Call You Mine,The Chainsmokers,electropop
594,No Guidance (feat. Drake),Chris Brown,dance pop
595,Antisocial (with Travis Scott),Ed Sheeran,pop
596,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap
597,Con Calma - Remix,Daddy Yankee,latin
598,Find U Again (feat. Camila Cabello),Mark Ronson,dance pop
599,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop
600,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop
601,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop
602,Kills You Slowly,The Chainsmokers,electropop
